date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
18:45:49	12880/12880	---M-Z	200	added ('OK')	text/javascript	date:Fri,%2023%20Dec%202022%2010:40:00%20GMT	https://dappersa.co.za/assets/js/waypoint.js	C:/My%20Web%20Sites/Dapper/dappersa.co.za/assets/js/waypoint.js	(from https://dappersa.co.za/)
18:45:49	35388/35388	---M-Z	200	added ('OK')	text/javascript	date:Fri,%2023%20Dec%202022%2010:39:58%20GMT	https://dappersa.co.za/assets/js/parallax.min.js	C:/My%20Web%20Sites/Dapper/dappersa.co.za/assets/js/parallax.min.js	(from https://dappersa.co.za/)
18:45:49	14283/14283	---M-Z	200	added ('OK')	text/javascript	date:Fri,%2023%20Dec%202022%2010:39:53%20GMT	https://dappersa.co.za/assets/js/aos.min.js	C:/My%20Web%20Sites/Dapper/dappersa.co.za/assets/js/aos.min.js	(from https://dappersa.co.za/)
18:45:50	9571/9571	---M-Z	200	added ('OK')	text/javascript	date:Fri,%2023%20Dec%202022%2010:39:54%20GMT	https://dappersa.co.za/assets/js/custom.js	C:/My%20Web%20Sites/Dapper/dappersa.co.za/assets/js/custom.js	(from https://dappersa.co.za/)
18:45:51	165742/165742	---M-Z	200	added ('OK')	application/vnd.ms-fontobject	date:Fri,%2023%20Dec%202022%2010:39:42%20GMT	https://dappersa.co.za/assets/fonts/fontawesome-webfont.eot?v=4.7.0	C:/My%20Web%20Sites/Dapper/dappersa.co.za/assets/fonts/fontawesome-webfont3e6e.eot	(from https://dappersa.co.za/assets/css/font-awesome.min.css)
18:45:52	165742/165742	---M-Z	200	added ('OK')	application/vnd.ms-fontobject	date:Fri,%2023%20Dec%202022%2010:39:42%20GMT	https://dappersa.co.za/assets/fonts/fontawesome-webfont.eot?	C:/My%20Web%20Sites/Dapper/dappersa.co.za/assets/fonts/fontawesome-webfontd41d.eot	(from https://dappersa.co.za/assets/css/font-awesome.min.css)
18:45:54	77160/77160	---M--	200	added ('OK')	font/woff2	date:Fri,%2023%20Dec%202022%2007:02:20%20GMT	https://dappersa.co.za/assets/fonts/fontawesome-webfont.woff2?v=4.7.0	C:/My%20Web%20Sites/Dapper/dappersa.co.za/assets/fonts/fontawesome-webfont3e6e.woff2	(from https://dappersa.co.za/assets/css/font-awesome.min.css)
18:45:54	98024/98024	---M--	200	added ('OK')	font/woff	date:Fri,%2023%20Dec%202022%2010:39:49%20GMT	https://dappersa.co.za/assets/fonts/fontawesome-webfont.woff?v=4.7.0	C:/My%20Web%20Sites/Dapper/dappersa.co.za/assets/fonts/fontawesome-webfont3e6e.woff	(from https://dappersa.co.za/assets/css/font-awesome.min.css)
18:45:56	58680/58680	---M-Z	200	added ('OK')	application/vnd.ms-fontobject	date:Fri,%2023%20Dec%202022%2010:39:50%20GMT	https://dappersa.co.za/assets/fonts/Pe-icon-7-stroke.eot?d7yf1v	C:/My%20Web%20Sites/Dapper/dappersa.co.za/assets/fonts/Pe-icon-7-strokebb1d.eot	(from https://dappersa.co.za/assets/css/pe-icon-7-stroke.css)
18:45:57	444379/444379	---M-Z	200	added ('OK')	image/svg+xml	date:Fri,%2023%20Dec%202022%2010:39:49%20GMT	https://dappersa.co.za/assets/fonts/fontawesome-webfont.svg?v=4.7.0	C:/My%20Web%20Sites/Dapper/dappersa.co.za/assets/fonts/fontawesome-webfont3e6e.svg	(from https://dappersa.co.za/assets/css/font-awesome.min.css)
